index, number
399,(-1.0489830110851943e-15+2.2265545749060766e-16j)
400,(1.3156628362009063e-15+6.346274475372357e-17j)
401,(-1.7780094475545706e-15-1.2883894138042295e-17j)
402,(-2.967826439039744e-15-4.8148033771736964e-17j)
403,(2.6221160286433375e-15-3.1365375241179834e-16j)
404,(1.459024877010601e-15+8.436914435793429e-17j)
405,(-9.329440194953593e-15+1.2999606503938438e-17j)
406,(-2.0815502733749694e-15-9.513474877589987e-17j)
407,(-7.53899202824115e-16-3.419996024842546e-16j)
408,(-2.0780540402131955e-14-1.1952857557955188e-17j)
409,(-8.89361103737072e-15+1.9865930939006077e-16j)
410,(-5.273890518436357e-15-3.0228183673992445e-16j)
411,(-2.4707848830660095e-16+1.7084556871033264e-16j)
412,(-1.0549860208762984e-15+2.4616571196271036e-17j)
413,(1.7360293540824807e-15+2.4187951639956043e-17j)
414,(-4.925853050066701e-15+1.4405781573571485e-17j)
415,(2.0310363174897577e-15-1.9907279481546082e-16j)
416,(-1.9076460960277628e-15-2.8326999632797803e-16j)
417,(-4.735655144008807e-16-3.194146621815485e-16j)
418,(7.883158921532973e-16-2.0484088694969599e-16j)
419,(-1.01759706970146e-14+1.5584192008190643e-16j)
420,(-9.896583311824156e-16+5.879609862245729e-16j)
421,(2.6220799315157554e-15-4.631746795852169e-16j)
422,(2.675601939946339e-15+9.145973703502537e-17j)
423,(5.686319004634011e-15-9.930625518090884e-17j)
424,(2.5540449851649586e-15-3.245359776425897e-17j)
425,(-5.486696946003845e-16-1.9364867424932858e-16j)
426,(2.521467341909339e-15+2.5899035509736874e-16j)
427,(-4.354738651306875e-15-9.872220470121348e-18j)
428,(2.528594768642305e-15+6.006143224045388e-16j)
429,(3.1611424820776106e-15+5.844951416134388e-16j)
430,(1.568699639656068e-14+1.5502298729751568e-16j)
431,(1.5748097458831827e-15+1.0749640346753489e-17j)
432,(-3.037259990502789e-16+2.3902680554810805e-16j)
433,(-2.9554678501252864e-15+1.9176575993413527e-16j)
434,(1.6712215655081835e-15+9.090185283407423e-17j)
435,(3.655697982304816e-15-4.5913498506317984e-17j)
436,(5.266340715857722e-16+5.790901902387193e-17j)
437,(1.2964248583554457e-15-2.406572897291212e-16j)
438,(7.124260928772454e-16+9.871601196275183e-17j)
439,(-5.658457561917183e-16-7.402439844548334e-18j)
440,(-2.5919369727675542e-15-2.0996961019230897e-18j)
441,(-1.0210947105677569e-14+1.6468366741787655e-16j)
442,(-5.275661117377293e-16+1.223833122172607e-16j)
443,(5.448427102250072e-15-3.1258051257800424e-17j)
444,(-1.9112328671525702e-15-2.2502959957564287e-17j)
445,(-1.3640838631520006e-15+9.207464212062413e-17j)
446,(-2.9741593181660936e-15+1.1292943762942656e-16j)
447,(-2.3228341274363917e-15+1.7237457113452303e-16j)
448,(3.494713606159187e-16-5.74648343564337e-17j)
449,(1.9805437482418726e-15+1.9528390646762133e-16j)
450,(3.39488643737983e-15-1.8562696758406972e-16j)
451,(6.846873905822665e-16+3.0311981216323824e-17j)
